Pizza Type, Name, ID Number, Credit Card Number, CCard Password, Orders Time, Total Payment($)

Margherita Pizza (with Meat),Berkant,20234568960,2983-5463-9867-2134,1234,Fri Mar 10 00:15:52 2023,18.98

Plain Pizza (with Goat Cheese),Kaan,20238795039,4375-5689-3255-6790,5285,Fri Mar 10 00:17:05 2023,12.48

Turk Pizza (with Mushrooms),Ahmet Furkan,20236750981,3586-0926-5673-8364,7810,Fri Mar 10 00:17:59 2023,15.48

Classic Pizza (with Corn),Gaffar Cuma,20237281089,8746-1345-6784-5490,0923,Fri Mar 10 00:26:34 2023,11.98

Margherita Pizza (with Not sauce),Alperen,20225550897,7864-1236-2465-9835,8493,Fri Mar 10 11:43:09 2023,13.49

Classic Pizza (with Meat),Melisa,20216738492,5347-3548-9867-2810,1208,Fri Mar 10 12:06:00 2023,16.48

Turk Pizza (with Mushrooms),Etka,20216749812,7328-6743-9237-0910,8063,Fri Mar 10 15:39:48 2023,15.48

Plain Pizza (with Goat Cheese),Dorik,20205478293,2561-3837-2872-1998,8473,Fri Mar 10 15:48:04 2023,12.48

Turk Pizza (with Olives),Selmi ,20212791564,1239-4563-8945-2784,4352,Fri Mar 10 15:44:01 2023,14.98

Plain Pizza (with Not sauce),Petek,20237658915,6874-8945-7623-1209,7239,Fri Mar 10 15:51:25 2023,8.49

